鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物),臺北市文山區木柵路三段85巷8弄1~30號,40.67,住,,,1060427,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,,79.28,3,2,2,有,無,7600000,95863,,0,0,權利人共2人親友、員工或其他特殊關係間之交易。,RPPNMLLJOHMFFAA17DA
大安區,土地,瑞安段二小段481~510地號,4.4,其他,,,1060522,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,195112,44344,,0,0,,RPSOMLTJOHMFFFA78CA
大安區,房地(土地+建物),臺北市大安區潮州街151~180號,24.25,住,,,1060517,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,78.73,3,1,2,有,無,20500000,260384,,0,0,,RPSNMLQKOHMFFFA48CA
大安區,房地(土地+建物)+車位,臺北市大安區羅斯福路三段31~60號,23.11,商,,,1060414,土地2建物1車位1,二十五層，見其他登記事項,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050721,282.98,0,0,0,無,有,105000000,371051,坡道平面,35.63,0,,RPROMLQLOHMFFFA58CA
大安區,房地(土地+建物),臺北市大安區新生南路一段121~150號,44,住,,,1060419,土地1建物1車位0,全,三層,透天厝,,加強磚造,,107.61,3,1,2,有,無,45000000,418177,,0,0,含增建或未登記建物。,RPQOMLRLOHMFFFA58CA
大安區,房地(土地+建物),臺北市大安區和平東路二段107巷11弄1~30號,28.1,住,,,1060405,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,103.33,3,2,1,有,無,20000000,193555,,0,0,親友、員工或其他特殊關係間之交易。,RPOOMLNJOHMFFFA77CA
大安區,房地(土地+建物)+車位,臺北市大安區光復南路61~90號,30.05,住,,,1060504,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,940126,277.7,3,2,2,有,有,65000000,234066,坡道平面,77.38,0,,RPPNMLLJOHMFFFA57CA
大安區,車位,臺北市大安區光復南路61~90號,0.14,住,,,1060508,土地0建物0車位1,一層,十三層,其他,見其他登記事項,鋼筋混凝土造,940126,38.76,0,0,0,有,有,3500000,,坡道平面,38.69,3500000,,RPQNMLLJOHMFFFA67CA
大安區,房地(土地+建物),臺北市大安區敦化南路二段1~30號,24.04,其他,,,1060511,土地3建物2車位0,七層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,,226.73,0,0,0,無,有,60000000,264632,,0,0,,RPRNMLMJOHMFFFA87CA
大安區,房地(土地+建物)+車位,臺北市大安區瑞安街208巷47弄1~30號,13.76,住,,,1060512,土地1建物2車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820805,57.95,3,2,2,有,有,10000000,172563,坡道機械,0,0,親友、員工或其他特殊關係間之交易。本案為持分買賣。,RPUNMLMJOHMFFFA18CA
大安區,房地(土地+建物)+車位,臺北市大安區敦南街61~90號,59.28,住,,,1060411,土地1建物1車位3,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,920102,451.48,4,2,2,有,有,128740000,285151,坡道平面,100.62,0,內含獨立產權車位，未包含在棟數內。含增建或未登記建物。,RPUOMLMJOHMFFFA28CA
大安區,土地,復興段一小段31~60地號,10.73,其他,,,1060519,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,365357,34050,,0,0,1.公共設施保留地之交易。2.權利人共２人,RPTNMLRJOHMFFFA58CA
